City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Mercedes,AR,2021-10-21 14:07:29,-34.6515,-59.4307,78.85,38,5,9.71
160,Kabansk,RU,2021-10-21 14:11:58,52.0486,106.6528,28.89,68,0,4.34
161,Samfya,ZM,2021-10-21 14:11:58,-11.3649,29.5565,88.12,25,56,2.17
162,Provideniya,RU,2021-10-21 14:11:59,64.3833,-173.3,21.38,91,41,4.29
163,Talara,PE,2021-10-21 14:11:59,-4.5772,-81.2719,70.56,68,0,23.02
164,Paraiso,CR,2021-10-21 14:11:59,9.8383,-83.8656,73.89,61,80,3.78
165,Kargil,IN,2021-10-21 14:12:00,34.5667,76.1,46.36,23,1,8.46
166,Ostrovnoy,RU,2021-10-21 14:12:00,68.0531,39.5131,32.74,90,100,16.13
167,Dhidhdhoo,MV,2021-10-21 14:12:01,6.8833,73.1,81.28,80,86,10.07
168,Aklavik,CA,2021-10-21 14:12:02,68.2191,-135.0107,23.76,86,100,5.46
169,Ngunguru,NZ,2021-10-21 14:12:03,-35.6167,174.5,63.16,94,100,11.9
170,Husavik,IS,2021-10-21 14:12:03,66.0449,-17.3389,36.12,63,6,12.46
171,Boa Vista,BR,2021-10-21 14:12:04,2.8197,-60.6733,84.18,70,75,4.61
172,Tiksi,RU,2021-10-21 14:12:04,71.6872,128.8694,14.95,95,100,11.18
173,Tual,ID,2021-10-21 14:12:05,-5.6667,132.75,82.76,79,85,6.49
174,Geraldton,AU,2021-10-21 14:12:05,-28.7667,114.6,62.13,77,40,8.05
175,Lompoc,US,2021-10-21 14:12:06,34.6391,-120.4579,66.13,81,1,3.44
176,Harper,LR,2021-10-21 14:12:07,4.375,-7.7169,81.19,77,100,9.31
177,Paamiut,GL,2021-10-21 14:12:07,61.994,-49.6678,35.82,40,26,2.04
178,Tuktoyaktuk,CA,2021-10-21 14:12:08,69.4541,-133.0374,26.56,84,100,5.1
179,Talcahuano,CL,2021-10-21 14:12:08,-36.7167,-73.1167,56.88,82,75,5.75
180,Bambanglipuro,ID,2021-10-21 14:12:09,-7.95,110.2833,78.55,87,100,7.07
181,Kudahuvadhoo,MV,2021-10-21 14:12:09,2.6708,72.8944,82.44,68,12,12.12
182,Kapuskasing,CA,2021-10-21 14:12:10,49.4169,-82.4331,32.76,71,11,1.99
183,Ancud,CL,2021-10-21 14:12:10,-41.8697,-73.8203,53.13,58,4,4.38
184,Sungaipenuh,ID,2021-10-21 14:07:18,-2.0833,101.3833,66.24,97,100,0.38
185,Nevelsk,RU,2021-10-21 14:12:11,46.6733,141.8633,32.86,76,67,3.58
186,Emerald,AU,2021-10-21 14:12:12,-23.5333,148.1667,76.33,51,4,12.59
187,Turan,VN,2021-10-21 14:09:54,16.0678,108.2208,82.45,83,40,2.3
188,Vila,PT,2021-10-21 14:12:12,42.0304,-8.1588,54.73,67,50,7.43
189,Cidreira,BR,2021-10-21 14:12:13,-30.1811,-50.2056,64.24,75,81,13.47
190,Deputatskiy,RU,2021-10-21 14:12:13,69.3,139.9,-1.21,99,100,2.98
191,Kodiak,US,2021-10-21 14:12:14,57.79,-152.4072,36.14,81,27,3.74
192,Port Alfred,ZA,2021-10-21 14:12:14,-33.5906,26.891,75.58,66,14,19.28
193,Rjukan,NO,2021-10-21 14:12:15,59.8789,8.5941,49.64,59,5,24.9
194,Kautokeino,NO,2021-10-21 14:12:15,69.0125,23.0412,22.95,94,100,15.57
195,Clyde River,CA,2021-10-21 14:12:16,70.4692,-68.5914,20.95,90,89,4.23
196,Tongliao,CN,2021-10-21 14:12:16,43.6125,122.2653,37.42,45,27,6.35
197,Westport,US,2021-10-21 14:09:17,41.1415,-73.3579,69.28,62,1,3.0
198,Zhangjiakou,CN,2021-10-21 14:12:17,40.81,114.8794,40.8,46,0,6.67
199,Maneadero,MX,2021-10-21 14:12:17,31.7167,-116.5667,58.53,77,5,2.68
200,Belmonte,BR,2021-10-21 14:12:18,-15.8631,-38.8828,73.9,83,100,6.33
201,Port Elizabeth,ZA,2021-10-21 14:12:18,-33.918,25.5701,73.35,68,26,10.65
202,Hasaki,JP,2021-10-21 14:12:19,35.7333,140.8333,57.6,53,85,13.42
203,Isangel,VU,2021-10-21 14:12:19,-19.55,169.2667,73.76,90,100,18.63
204,Dalbandin,PK,2021-10-21 14:12:20,28.8947,64.4101,83.62,17,0,7.65
205,Lewisporte,CA,2021-10-21 14:12:20,49.2499,-55.0482,51.13,82,100,14.67
206,Charters Towers,AU,2021-10-21 14:12:20,-20.1,146.2667,73.53,85,100,9.93
207,Hit,IQ,2021-10-21 14:12:21,33.6416,42.8251,80.96,17,0,9.15
208,Belaya Gora,RU,2021-10-21 14:12:21,68.5333,146.4167,-8.21,96,86,3.18
209,Savonlinna,FI,2021-10-21 14:12:22,61.8699,28.88,48.25,87,75,8.05
210,Thompson,CA,2021-10-21 14:12:22,55.7435,-97.8558,26.38,78,16,4.38
211,Mutoko,ZW,2021-10-21 14:12:23,-17.397,32.2268,76.1,35,91,9.35
212,Rio Gallegos,AR,2021-10-21 14:11:31,-51.6226,-69.2181,53.65,26,0,32.21
213,Alofi,NU,2021-10-21 14:12:23,-19.0595,-169.9187,76.1,64,64,17.96
214,Santa Rosa,PH,2021-10-21 14:12:24,14.3122,121.1114,81.86,79,100,6.91
215,Guerrero Negro,MX,2021-10-21 14:08:33,27.9769,-114.0611,64.0,89,3,7.29
216,Medina,SA,2021-10-21 14:08:56,24.4686,39.6142,99.03,5,0,9.22
217,El Tigre,VE,2021-10-21 14:12:20,8.8875,-64.2454,84.38,58,35,14.12
218,Nouadhibou,MR,2021-10-21 14:12:25,20.931,-17.0347,77.14,53,0,6.42
219,Scalea,IT,2021-10-21 14:12:25,39.813,15.7956,65.17,75,62,0.56
220,Morro Bay,US,2021-10-21 14:12:26,35.3658,-120.8499,59.81,87,100,5.12
221,Chipata,ZM,2021-10-21 14:12:27,-13.6333,32.65,75.56,48,82,7.9
222,Alcains,PT,2021-10-21 14:12:27,39.9164,-7.4566,71.56,52,3,6.4
223,College,US,2021-10-21 14:12:27,64.8569,-147.8028,28.29,84,75,3.44
224,Daru,PG,2021-10-21 14:12:28,-9.0763,143.2092,78.24,87,100,7.74
225,Okakarara,NA,2021-10-21 14:12:28,-20.5833,17.4333,80.44,36,89,13.18
226,De Aar,ZA,2021-10-21 14:12:29,-30.6497,24.0123,70.86,42,100,23.31
227,Cabanas,CU,2021-10-21 14:12:29,22.9758,-82.9219,81.07,76,100,14.2
228,Nichinan,JP,2021-10-21 14:12:30,31.6,131.3667,59.52,93,100,7.87
229,Paita,PE,2021-10-21 14:12:30,-5.0892,-81.1144,70.36,76,100,11.3
230,Panaba,MX,2021-10-21 14:12:31,21.2833,-88.2667,78.04,84,99,5.23
231,Yulara,AU,2021-10-21 14:12:31,-25.2406,130.9889,73.24,20,0,8.05
232,Richards Bay,ZA,2021-10-21 14:12:32,-28.783,32.0377,77.65,59,60,16.55
233,Bocaiuva,BR,2021-10-21 14:12:32,-17.1078,-43.815,76.91,64,85,7.61
234,Mikun,RU,2021-10-21 14:12:33,62.3547,50.0771,30.99,97,100,9.01
235,Norman Wells,CA,2021-10-21 14:12:33,65.282,-126.8329,24.42,93,5,4.81
236,Tall Kayf,TR,2021-10-21 14:12:34,37.0833,41.0667,77.34,20,0,1.01
237,Tsaratanana,MG,2021-10-21 14:12:34,-16.7833,47.65,90.54,26,51,7.45
238,Kavaratti,IN,2021-10-21 14:12:35,10.5669,72.642,82.22,77,65,12.59
239,Okha,RU,2021-10-21 14:12:35,53.5739,142.9478,31.37,87,100,7.16
240,Fukue,JP,2021-10-21 14:12:36,32.6881,128.8419,65.64,60,100,15.5
241,Khatanga,RU,2021-10-21 14:12:36,71.9667,102.5,9.79,96,97,6.89
242,Dhamnod,IN,2021-10-21 14:12:37,22.2167,75.4667,79.25,42,0,0.54
243,La Baneza,ES,2021-10-21 14:12:37,42.3003,-5.8977,64.2,33,83,6.42
244,Khasan,RU,2021-10-21 14:12:38,42.4308,130.6434,43.88,56,6,6.91
