City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Coylton,GB,55.4453,-4.5195,51.39,76,75,13.8,broken clouds
198,Hokitika,NZ,-42.7167,170.9667,53.67,90,17,5.26,few clouds
199,Barcelos,PT,41.5388,-8.6151,66.92,71,46,7.63,scattered clouds
200,Haines Junction,CA,60.7522,-137.5108,8.55,85,100,1.14,overcast clouds
201,Urumqi,CN,43.801,87.6005,40.15,52,0,2.24,clear sky
202,Bandarbeyla,SO,9.4942,50.8122,78.69,74,15,7.27,few clouds
203,Taoudenni,ML,22.6783,-3.9836,96.67,13,84,7.29,broken clouds
204,Chuy,UY,-33.6971,-53.4616,79.92,40,0,19.64,clear sky
205,Beoumi,CI,7.6736,-5.5764,75.81,89,99,2.57,overcast clouds
206,Deputatskiy,RU,69.3,139.9,-2.2,99,99,0.94,overcast clouds
207,Komsomolskiy,UZ,40.4272,71.7189,51.22,46,0,6.91,clear sky
208,Acajutla,SV,13.5928,-89.8275,91.74,70,8,6.69,clear sky
209,Iqaluit,CA,63.7506,-68.5145,31.73,74,75,5.75,broken clouds
210,Shimoda,JP,34.6667,138.95,60.91,93,100,30.33,overcast clouds
211,Victor Harbor,AU,-35.5667,138.6167,58.91,90,2,9.57,clear sky
212,Padang,ID,-0.9492,100.3543,77.05,88,100,3.04,overcast clouds
213,Lazurne,UA,46.084,32.5295,48.42,46,3,4.63,clear sky
214,Bonavista,CA,48.6499,-53.1147,44.11,73,100,29.21,overcast clouds
215,Aksu,CN,41.1231,80.2644,50.47,39,4,2.91,clear sky
216,Itarema,BR,-2.9248,-39.9167,88.57,51,29,19.51,scattered clouds
217,Okhotsk,RU,59.3833,143.3,21.18,79,96,6.06,overcast clouds
218,Oussouye,SN,12.485,-16.5469,93.38,79,99,4.74,light rain
219,Meadow Lake,US,34.8014,-106.5436,72.39,32,33,8.72,scattered clouds
220,Kavaratti,IN,10.5669,72.642,82.71,75,45,14.81,scattered clouds
